company_id,type,rule_id,text,confidence_pct
RELIANCE,pro,P8,Consistent dividend yield above 2% backed by positive free cash flow,80
RELIANCE,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth,85
RELIANCE,con,C8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,80
RELIANCE,con,C9,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,85
TCS,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,90
TCS,con,C1,Debt-to-equity ratio of 2.1 is elevated for a non-financial company and warrants monitoring,90
TCS,con,C7,"Dividend payout ratio above 100% means the company is paying dividends from reserves, which is unsustainable",85
HDFCBANK,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,85
HDFCBANK,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,80
HDFCBANK,con,C1,Debt-to-equity ratio of 2.3 is elevated for a non-financial company and warrants monitoring,90
HDFCBANK,con,C7,"Dividend payout ratio above 100% means the company is paying dividends from reserves, which is unsustainable",85
HDFCBANK,con,C12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,75
INFY,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,85
INFY,pro,P8,Consistent dividend yield above 2% backed by positive free cash flow,80
INFY,con,C7,"Dividend payout ratio above 100% means the company is paying dividends from reserves, which is unsustainable",85
ICICIBANK,pro,P8,Consistent dividend yield above 2% backed by positive free cash flow,80
ICICIBANK,con,C1,Debt-to-equity ratio of 2.6 is elevated for a non-financial company and warrants monitoring,90
ICICIBANK,con,C5,Revenue contraction over consecutive years indicates demand weakness or market share loss,80
ICICIBANK,con,C7,"Dividend payout ratio above 100% means the company is paying dividends from reserves, which is unsustainable",85
ICICIBANK,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
ICICIBANK,con,C11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,85
HINDUNILVR,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75
HINDUNILVR,con,C7,"Dividend payout ratio above 100% means the company is paying dividends from reserves, which is unsustainable",85
